,Name,Code,Logic,Price,Stock,Buying_price,Current_price,Profit,Return_rate
0,삼성바이오로직스,207940.KS,delta,1006000.0,0.099403578528827,100000.0,113022.0,13022.0,0.13
1,기아,000270.KS,alpha,100700.0,0.99304865938431,100000.0,114101.0,14101.0,0.141
2,KB금융,105560.KS,delta,114950.0,0.8699434536755111,100000.0,101000.0,1000.0,0.01
3,하나금융지주,086790.KS,delta,88700.0,1.1273957158962795,100000.0,98422.0,-1578.0,-0.016
4,알테오젠,196170.KQ,alpha,461500.0,0.2166847237269772,100000.0,96208.0,-3792.0,-0.038
5,HMM,011200.KS,delta,20000.0,6.1048,122096.0,126064.0,3968.0,0.032
6,우리금융지주,316140.KS,delta,25150.0,4.854712,122096.0,124766.0,2670.0,0.022
7,고려아연,010130.KS,gamma,926000.0,0.1079913606911447,100000.0,133477.0,33477.0,0.335
8,KT&G,033780.KS,delta,138900.0,0.7199424046076314,100000.0,100648.0,648.0,0.006
9,크래프톤,259960.KS,alpha,300500.0,0.3327787021630615,100000.0,95840.0,-4160.0,-0.042
10,Summary,,,,,1000000.0,1103548.0,103548.0,0.10354799999999997
