N,종목명
1,삼성전자
2,SK하이닉스
3,LG에너지솔루션
4,삼성바이오로직스
5,삼성전자우
6,두산에너빌리티
7,한화에어로스페이스
8,현대차
9,HD현대중공업
10,KB금융
11,NAVER
12,기아
13,셀트리온
14,신한지주
15,삼성생명
16,삼성물산
17,한화오션
18,SK스퀘어
19,HD한국조선해양
20,현대모비스
21,고려아연
22,카카오
23,한국전력
24,하나금융지주
25,HD현대일렉트릭
26,POSCO홀딩스
27,현대로템
28,HMM
29,LG화학
30,삼성화재
31,메리츠금융지주
32,삼성중공업
33,우리금융지주
34,SK이노베이션
35,삼성SDI
36,KT&G
37,SK
38,기업은행
39,삼성전기
40,포스코퓨처엠
41,크래프톤
42,효성중공업
43,LG전자
44,삼성에스디에스
45,KT
46,한미반도체
47,HD현대
48,현대글로비스
49,미래에셋증권
50,SK텔레콤
